dataValidTime_sensor,dataReceiveTime_system,Estimated Time
0,1000,1000.02
0.02,1000.04,1000.05
0.04,1000.08,1000.1
0.06,1000.09,1000.11
0.08,1000.09,1000.11
0.1,1000.13,1000.15
0.12,1000.13,1000.15
0.14,1000.14,1000.16
0.16,1000.17,1000.19
0.18,1000.2,1000.22
0.2,1000.25,1000.27
0.22,1000.25,1000.27
0.24,1000.26,1000.28
0.26,1000.28,1000.3
0.28,1000.31,1000.33
0.3,1000.33,1000.35
0.32,1000.36,1000.38
0.34,1000.36,1000.38
0.36,1000.38,1000.4
0.38,1000.38,1000.4
0.4,1000.4,1000.42
0.42,1000.42,1000.44
0.44,1000.44,1000.46
0.46,1000.46,1000.48
0.48,1000.5,1000.52
0.5,1000.5,1000.52
0.52,1000.53,1000.55
0.54,1000.55,1000.57
0.56,1000.61,1000.63
0.58,1000.61,1000.63
0.6,1000.61,1000.63
0.62,1000.62,1000.64
0.64,1000.68,1000.7
0.66,1000.68,1000.7
0.68,1000.68,1000.7
0.7,1000.71,1000.73
0.72,1000.77,1000.79
0.74,1000.77,1000.79
0.76,1000.77,1000.79
0.78,1000.79,1000.81
0.8,1000.82,1000.84
0.82,1000.82,1000.84
0.84,1000.88,1000.9
0.86,1000.88,1000.9
0.88,1000.88,1000.9
0.9,1000.91,1000.93
0.92,1000.94,1000.96
0.94,1000.97,1000.99
0.96,1000.97,1000.99
0.98,1000.98,1001
1,1001.03,1001.05
1.02,1001.03,1001.05
1.04,1001.04,1001.06
1.06,1001.06,1001.08
1.08,1001.1,1001.11
1.1,1001.1,1001.12
1.12,1001.13,1001.15
1.14,1001.14,1001.16
1.16,1001.21,1001.23
1.18,1001.21,1001.23
1.2,1001.25,1001.27
1.22,1001.25,1001.27
1.24,1001.26,1001.28
1.26,1001.27,1001.29
1.28,1001.3,1001.32
1.3,1001.31,1001.33
1.32,1001.33,1001.35
1.34,1001.36,1001.38
1.36,1001.4,1001.42
1.38,1001.4,1001.42
1.4,1001.4,1001.42
1.42,1001.42,1001.44
1.44,1001.45,1001.47
1.46,1001.46,1001.48
1.48,1001.5,1001.52
1.5,1001.5,1001.52
1.52,1001.55,1001.57
1.54,1001.55,1001.57
1.56,1001.57,1001.59
1.58,1001.6,1001.62
1.6,1001.61,1001.63
1.62,1001.66,1001.68
1.64,1001.66,1001.68
1.66,1001.69,1001.71
1.68,1001.72,1001.74
1.7,1001.72,1001.74
1.72,1001.72,1001.74
1.74,1001.77,1001.79
1.76,1001.78,1001.8
1.78,1001.78,1001.8
1.8,1001.8,1001.82
1.82,1001.84,1001.86
1.84,1001.88,1001.9
1.86,1001.88,1001.9
1.88,1001.89,1001.91
1.9,1001.9,1001.92
1.92,1001.92,1001.94
1.94,1001.94,1001.96
1.96,1001.99,1002.01
1.98,1001.99,1002.01
2,1002.04,1002.06
2.02,1002.04,1002.06
2.04,1002.06,1002.08
2.06,1002.06,1002.08
2.08,1002.1,1002.12
2.1,1002.1,1002.12
2.12,1002.12,1002.14
2.14,1002.17,1002.19
2.16,1002.17,1002.19
2.18,1002.18,1002.2
2.2,1002.22,1002.24
2.22,1002.23,1002.25
2.24,1002.24,1002.26
2.26,1002.26,1002.28
2.28,1002.31,1002.33
2.3,1002.32,1002.34
2.32,1002.35,1002.37
2.34,1002.35,1002.37
2.36,1002.38,1002.4
2.38,1002.39,1002.41
2.4,1002.4,1002.42
2.42,1002.44,1002.46
2.44,1002.46,1002.48
2.46,1002.47,1002.49
2.48,1002.48,1002.5
2.5,1002.5,1002.52
2.52,1002.52,1002.54
2.54,1002.54,1002.56
2.56,1002.59,1002.61
2.58,1002.59,1002.61
2.6,1002.6,1002.62
2.62,1002.63,1002.65
2.64,1002.64,1002.66
2.66,1002.66,1002.68
2.68,1002.68,1002.7
2.7,1002.7,1002.72
2.72,1002.72,1002.74
2.74,1002.78,1002.8
2.76,1002.78,1002.8
2.78,1002.78,1002.8
2.8,1002.8,1002.82
2.82,1002.82,1002.84
2.84,1002.88,1002.9
2.86,1002.88,1002.9
2.88,1002.89,1002.91
2.9,1002.92,1002.94
2.92,1002.96,1002.98
2.94,1002.98,1003
2.96,1003,1003.02
2.98,1003,1003.02
